document_id,clean_text,sentiment
17,right choose belong selfempowerment selflove selfbelief ulm black welfare selfcaresunday blacklivesmatter httpstcoqh5gnjegas,Positive
18,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
19,it nfk299 judicial injustice public acceptable revolutionblackedout ironlady dgispr rterdogan mbsofksa reportpemra rank,Negative
20,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
21,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
22,it hellohe59251817 growing body research shows economic sanction dire consequences human populations sanction cause,Positive
23,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
24,it lawyersgunsmon1 jojofromjerz june st 2020 fascia openly revealed lafayettesquare still passes blackliv,Neutral
25,it nfk299 judicial burglars acceptable revolutionblackedout ironlady dgispr officialdgispr rterdogan mbsofksa reportpemra,Neutral
26,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
27,rayshard brooks blacklivesmatter,Neutral
28,billclinton see supporting tplfisaterroristgroup drtedros racism blacklivesmatter votethemout duc,Positive
29,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
30,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
31,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
32,judicial baseness public acceptable revolutionblackedout ironlady dgispr officialdgispr rterdogan mbsofksa reportpemra imrankhanpti theaters silence mediablackout blacklivesmatter palestine kashmir 5 httpstcod6pq5qqzpe,Neutral
33,it gave patrick loyal 26 year old young man democratic republic cong congolese shot back head,Positive
34,judicial burglars acceptable revolutionblackedout ironlady dgispr officialdgispr rterdogan mbsofksa reportpemra imrankhanpti theaters slaves beggars silence mediablackout blacklivesmatter palestine kashmir 5 httpstcojvx2uauhfo,Neutral
35,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
36,judicial injustice public acceptable revolutionblackedout ironlady dgispr rterdogan mbsofksa reportpemra imrankhanpti theaters slaves beggars silence mediablackout blacklivesmatter palestine kashmir 5 httpstco1pasqrwmhw,Neutral
37,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
38,it hellohe59251817 sanction blunt ineffective policy tools impose insufficient costs target governments disproport,Neutral
39,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
40,blacklivesmatter time great exudes begin must decide whatwhere want wind rush generation came england aid rebuild www ruble next gen reward iceberg inequality fairness secret sabotage business employ etc,Positive
41,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
42,it hellohe59251817 sanction blunt ineffective policy tools impose insufficient costs target governments disproport,Neutral
43,it denisedwards004 there way racism come end satan still black colour jesus white black clothes burri,Negative
44,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
45,sun may 31 2020 new york city new york police charge peaceful crowd watch httpstcopgumdk2n7u city network citynew york nycpd blacklivesmatter ulm defundthepolice abolishthepolice,Positive
46,it liyaayenew sanction blunt ineffective policy tools impose insufficient costs target governments disproportionate,Neutral
47,it liyaayenew growing body research shows economic sanction dire consequences human populations sanction cause many,Positive
48,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
49,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
50,earlier week blacklivesmatter founders facing harsh criticism recently reported accusations involving purchase super sweet pad donation money httpstcog297x3ya0n,Positive
51,it jamesdavis4655 u females still hit men blacklivesmatter blacktwitter male female pregnant clara ukrainerussiawar us la cal,Positive
52,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
53,it hellohe59251817 sanction blunt ineffective policy tools impose insufficient costs target governments disproport,Neutral
54,beaux theatlantic friends amp already philadelphia mississippi twice year careless murders tour may do arrange tour future visits late go blacklivesmatter stopasianhate flutrucksklan,Negative
55,it mania of want high detailed stronger twitch hum get done smallstreamer twitchaffiliate supportsmallst,Positive
56,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
57,it karlad80 world feet support blacklivesmatter must question silence request iii,Neutral
58,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
59,want high detailed stronger twitch hum get done smallstreamer twitchaffiliate supportsmallstreamers blacklivesmatter warne supportblackbusiness trove rtsmallstreams shoutgamers promo streams sigh its wwwanpaus rexretweets twitwatchtv httpstcoutyvmhfpdc,Positive
60,it down democrats republicans neither blacklivesmatter vapingsaveslives join human race put httpstco80x4hrj0vc,Negative
61,it hellohe59251817 united states world leader imposing economic sanction followed e conglomerates behind,Negative
62,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
63,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
64,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
65,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
66,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
67,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
68,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
69,it tarryngfx streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallst,Negative
70,streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallstreamers twitch blacklivesmatter twitched blazers scrimfinder gamingrtweeters artistrtweeters she it rtsmallstreams sigh its wwwanpaus drift httpstcogjodp9dsl2,Negative
71,it basedblackdude fact support blacklivesmatter also joe widen amp mala harris supporters actively locked,Negative
72,it rockoladelrolo podcast father released latest episode iamkeemyh talk visibleminorities favorite must,Positive
73,it began of guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers war,Neutral
74,it say names stephen clark blacklivesmatter,Neutral
75,it began of guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers war,Neutral
76,it texacanno magazines collected kept one fait hasn aged 10 years ago say na,Negative
77,it jakki2004 sweet keeps love care transrightsarehumanrights blacklivesmatter latin indigo,Positive
78,it tina4wildelake believe blacklivesmatter httpstcob4lefo41yd,Neutral
79,it hellohe59251817 repmalinowski illadvised sanction bill drive ethiopia hands china limiting trade i,Neutral
80,it began of guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers war,Neutral
81,podcast father released latest episode iamkeemyh talk visibleminorities favorite music podcast haven heard link listen rate review httpstcodyq6cnpmwu blacklivesmatter lgbtq lgbtqia podcastrecommendations,Positive
82,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
83,it sixty my use image afar woman victim tell atrocities amp talk gray cruel amp inhuman,Negative
84,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
85,it began of guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers war,Neutral
86,it down democrats republicans neither blacklivesmatter vapingsaveslives join human race put httpstco80x4hrj0vc,Negative
87,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
88,it a devcouncil breakthesilence illegal us sanction imposed good people eritrea 13 africa,Positive
89,it karlad80 world feet support blacklivesmatter must question silence request iii,Neutral
90,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
91,it sixty my use image afar woman victim tell atrocities amp talk gray cruel amp inhuman,Negative
92,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
93,stephen clark blacklivesmatter,Neutral
94,it began of guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers war,Neutral
95,it skiermichael really hope lesson people take elijah mcclain sad sweet rather amount,Positive
96,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
97,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
98,it sixty my use image afar woman victim tell atrocities amp talk gray cruel amp inhuman,Negative
99,it began of guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers war,Neutral
100,magazines collected kept one fait hasn aged 10 years ago say name peoplemagazine april9th years sayhisname trayvonmartin blacklivesmatter alllivesmatter rememberthis httpstcoa1sjugkvrc,Negative
101,it jakki2004 sweet keeps love care transrightsarehumanrights blacklivesmatter latin indigo,Positive
102,sweet keeps love care transrightsarehumanrights blacklivesmatter latin indigenous lgbtqia jewish asia muslin rights matter part greatest democracy world please votebluein2022 midterms2022 httpstcoiocovd25gp,Positive
103,it blanchardkate loyal came united states family seven years ago fleeing violence democratic republic cong,Positive
104,senatorcantwell wash state amend art 4 see 2 decisions court shall given writing amp grounds decision shall stated wa supreme court violated rights citizens decades zero reprimand accountability time end blacklivesmatter,Neutral
105,believe blacklivesmatter httpstcob4lefo41yd,Neutral
106,guy hum get lit overlay twitch hurry get done smallstreamer twitchaffiliate twitchstreamers warne apexlegends supportsmallstreamers blacklivesmatter streamerwall rtsmallstreams shoutgamers promo streams sigh its wwwanpaus rexretweets trove httpstcocpdqtfssqr,Neutral
107,second sunday pm et blacklivesmatter come welcome hood twitter sunday httpstcoyjemjbhcw8 httpstco4jg3dlxkjk,Positive
108,it roar magazine anton de tom surnames anticolonial leader peoples historian largely condemned obscurity life,Positive
109,it sixty my coming neocolonial africa nightmare long africa remembers breakthesilence more rejects319,Positive
110,it eslemanabayy join matinyarare calling breakthesilence end illegal us sanction people zimbabwe of,Negative
111,really hope lesson people take elijah mcclain sad sweet rather amount gentleness amp respectability protect black person arbitrary wrath bad police blacklivesmatter httpstco5modpevdtz,Negative
112,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
113,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
114,it marktsneed looking fastpaced thrilled little bit romance pick seventh novel available amazon too,Positive
115,great emilianozapata anniversary today murdered 1919 age 39 true warrior always remembered blackpantherparty even blacklivesmatter,Positive
116,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
117,it oldmainbell king king king amp king king reinstate blacklivesmatter justiceforall,Neutral
118,it botdefund refund kensington police blacklivesmatter defundthepolice,Neutral
119,it hitbyheaven can get mind told husband saw pictures brain palmsunday2022 rivaled pictures,Neutral
120,it rastadaviddawa rastafari soldiers called support in channel httpstconmhs5riwuq rasdawa liberationsound ras,Neutral
121,it intelectualytal blacklivesmatter shaking level sketchiness aliciagarza docmellymel blklivesmatter nonprofits need,Neutral
122,king king king amp king king reinstate blacklivesmatter justiceforall,Neutral
123,it a devcouncil breakthesilence illegal sanction pp zimbabwe join matinyarare calling end ill,Negative
124,it marktsneed looking fastpaced thrilled little bit romance pick seventh novel available amazon too,Positive
125,it marktsneed looking fastpaced thrilled little bit romance pick seventh novel available amazon too,Positive
126,it a devcouncil breakthesilence illegal sanction pp zimbabwe join matinyarare calling end ill,Negative
127,it mania of streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmalls,Negative
128,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
129,it sixty my coming neocolonial africa nightmare long africa remembers breakthesilence more rejects319,Positive
130,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
131,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
132,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
133,it intelectualytal blacklivesmatter shaking level sketchiness aliciagarza docmellymel blklivesmatter nonprofits need,Neutral
134,it nap ulm buy losangeles mansion him developer friend paid him six days earlier httpstcoyi,Neutral
135,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
136,it hellohe59251817 united states world leader imposing economic sanction followed e conglomerates behind,Negative
137,refund kensington police blacklivesmatter defundthepolice,Neutral
138,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
139,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
140,it hellohe59251817 growing body research shows economic sanction dire consequences human populations sanction cause,Positive
141,it mania of streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmalls,Negative
142,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
143,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
144,it mrhoneyedwayz blacklivesmatter becomes evil corporation clinton foundation operative lawyers,Negative
145,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
146,can get mind told husband saw pictures brain palmsunday2022 rivaled pictures american blacklivesmatter marches httpstcojcwx2w7k1v,Neutral
147,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
148,rastafari soldiers called support in channel httpstconmhs5riwuq rasdawa liberationsound rastafari roots rock regime dancehall dub music couture blacktwitter blacklivesmatter,Neutral
149,it thegr8edwin saveoctober help she real danger life line blacklivesmatter httpstcohz0lmizeo4,Positive
150,it mania of streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmalls,Negative
151,it mania of streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmalls,Negative
152,it roar magazine anton de tom surnames anticolonial leader peoples historian largely condemned obscurity life,Positive
153,it liyaayenew proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian economy,Neutral
154,it hellohe59251817 sanction blunt ineffective policy tools impose insufficient costs target governments disproport,Neutral
155,it roar magazine anton de tom surnames anticolonial leader peoples historian largely condemned obscurity life,Positive
156,it thegr8edwin saveoctober help she real danger life line blacklivesmatter,Positive
157,it eslemanabayy join matinyarare calling breakthesilence end illegal us sanction people zimbabwe of,Negative
158,it mrhoneyedwayz blacklivesmatter becomes evil corporation clinton foundation operative lawyers,Negative
159,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
160,streamers need sick notes twitch hum smallstreamer twitchaffiliate twitchstreamers supportsmallstreamers trove blacklivesmatter she it worldsspotlight stream it rapid its promoteamgamers twitchpromoters stream master streamerwall fortunate httpstcoewnh7ytzs0,Negative
161,it gave patrick loyal 26 year old young man democratic republic cong congolese shot back head,Positive
162,it hellohe59251817 growing body research shows economic sanction dire consequences human populations sanction cause,Positive
163,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
164,it hellohe59251817 united states world leader imposing economic sanction followed e conglomerates behind,Negative
165,it hellohe59251817 repmalinowski illadvised sanction bill drive ethiopia hands china limiting trade i,Neutral
166,it pocgamer nothing like talking shit nuts lose followers record nuts trash blacklivesmatter stop,Negative
167,blacklivesmatter shaking level sketchiness aliciagarza docmellymel blklivesmatter nonprofits need 100 transparent irs filing conflicts interest wpatrisses consulting ll amp trap heals mon ladies 0 transparent webster httpstcohzx5djiht4,Neutral
168,it columbia blacklivesmatter hood everywhere sunday twitter httpstcopu92z4p5zi,Neutral
169,come vice tribe twitch twitchstreamer twitchaffiliate theorise vices blacklivesmatter blackstreamer comevibewiththetribe loop perfectloop,Neutral
170,writing hard many rules break bend twist turn make something unique hope helps someone sundaythoughts sundaymotivation writingcommunity blacklivesmatter amwritingfiction kindnessmatters strongertogether resist httpstcoefqfewqvs3,Positive
171,it columbia blacklivesmatter hood everywhere sunday twitter httpstcokylvapsyu6,Neutral
172,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
173,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
174,sun may 31 2020 las began nevada police shove drag man street watch httpstcowlv1nguc1e lasvegasnevada land blacklivesmatter ulm defundthepolice abolishthepolice,Negative
175,it a devcouncil breakthesilence illegal us sanction imposed good people eritrea 13 africa,Positive
176,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
177,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
178,it realbigbrain man threatens protests bat buffalo ny imagine getting caught camera trying make people clinch,Neutral
179,it ablackcrystal sexual girl faced abusive living condition facing threats losing home please help,Positive
180,it hellohe59251817 sanction blunt ineffective policy tools impose insufficient costs target governments disproport,Neutral
181,it tlsliveshow jacket robinson became first african american play major league baseball twentieth century april 10 1947,Positive
182,democrats republicans neither blacklivesmatter vapingsaveslives join human race put httpstco80x4hrj0vc,Neutral
183,it hellohe59251817 proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian c,Neutral
184,it hellohe59251817 growing body research shows economic sanction dire consequences human populations sanction cause,Positive
185,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
186,it hellohe59251817 experts argue sanction violate international law studies show generally effective achieved,Positive
187,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
188,it hellohe59251817 united states world leader imposing economic sanction followed e conglomerates behind,Negative
189,teaching keeangayamahttas blacklivesmatter black liberation social movements course powerful insightful brilliant book,Positive
190,it king moses bah sympathize animals human beingtiny brains racistukraine blacklivesmatter httpstcolmegedgpim,Neutral
191,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
192,blacklivesmatter hood everywhere sunday twitter httpstcokylvapsyu6,Neutral
193,it vlcason recognizing white privilege first absolute step towards understanding racism easy read age,Positive
194,recognizing white privilege first absolute step towards understanding racism easy read seriously read racism blacklivesmatter equalityforall,Positive
195,it hellohe59251817 repmalinowski illadvised sanction bill drive ethiopia hands china limiting trade i,Neutral
196,it equal not lets make world better safer place not crept love lgbtq racism respect eh opened acceptance bully,Positive
197,it danielpiri6 would allowed happen up by ply davidlammy guardianaudio listen pensioners tell story,Neutral
198,it botdefund refund beverlyhillspolice blacklivesmatter,Neutral
199,world needs love sweet love standupforukraine blacklivesmatter everychildmatters kindnessmatters stoper freekiska httpstcocz5sqk7kho,Positive
200,it sixty my use image afar woman victim tell atrocities amp talk gray cruel amp inhuman,Negative
201,it a devcouncil breakthesilence illegal us sanction imposed good people eritrea 13 africa,Positive
202,it beantownkid123 white guy approached freedom corner said gift evangelists invited,Neutral
203,jacket robinson became first african american play major league baseball twentieth century april 10 1947 bhistorytoday history blackhistory blacklivesmatter blacktwitter themoreyouknow cut expand learningisfun readbannedbooks httpstcoxzbz39ztbc,Positive
204,it sixty my use image afar woman victim tell atrocities amp talk gray cruel amp inhuman,Negative
205,it botdefund refund beverlyhillspolice blacklivesmatter,Neutral
206,it danielpiri6 would allowed happen up by ply davidlammy guardianaudio listen pensioners tell story,Neutral
207,it equal not lets make world better safer place not crept love lgbtq racism respect eh opened acceptance bully,Positive
208,it elizabethtiku proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian icon,Neutral
209,it bee papa amber heard friend ram dressed cop blacklivesmatter crisis take instagram photo justicefor,Neutral
210,use image afar woman victim tell atrocities amp talk gray cruel amp inhuman can expect much ms breakthesilence more blacklivesmatter httpstco5kepmya8rx,Negative
211,refund beverlyhillspolice blacklivesmatter,Neutral
212,would allowed happen up by ply davidlammy guardianaudio listen pensioners tell story httpstco0rityvzuxi blacklivesmatter exploitation httpstcoftz0xdhm8a,Neutral
213,lets make world better safer place not crept love lgbtq racism respect eh opened acceptance building equality blacklivesmatter httpstcogkwm41mgyo,Positive
214,it phrase blacklivesmatter blackvoicesmatter blackchildrenmatter join movement make sure needs voices children e,Positive
215,it king moses bah sympathize animals human beingtiny brains racistukraine blacklivesmatter httpstcolmegedgpim,Neutral
216,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
217,proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian economy clear impoverishment warning ordinary ethiopians cancelhr6600 blacklivesmatter more,Positive
218,it down matron must continue believe science competenceand reason thanks tip good luck rudolf,Positive
219,it brunoodero please whatever little guns highly help less fortunate 12050100 really h,Positive
220,it suevisa 471927ku klux klan holds revival meeting alabama church throughout us history white churches played writ,Neutral
221,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
222,world feet support blacklivesmatter must question silence request iii mixed race child found naked lifeless storm drain belfast justicefornoahdonohoe httpstcorfbu6gth0f,Neutral
223,matron must continue believe science competenceand reason thanks tip good luck rudolf democrats republicans neither blacklivesmatter vapingsaveslives,Positive
224,your upset blacklivesmatter,Neutral
225,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
226,yet someone like kylerittenhouse gets away literal murder endracism anthracis anthracis blacklivesmatter httpstcomyztmnjhbd,Neutral
227,black america makes small portion us population black buying power close 2 trillion making us one largest economies world according worldbank with largest economy world terms gdp blacklivesmatter httpstcoxbkf15bagu httpstcoqmmjbn9cy6,Negative
228,blacklivesmatter hood everywhere sunday twitter httpstcopu92z4p5zi,Neutral
229,it eslemanabayy join matinyarare calling breakthesilence end illegal us sanction people zimbabwe of,Negative
230,it msarielknox hey corybooker one took nbcsnls joy either confirmkbj justice4all scouts thurgoodmarshall harriettubman k,Positive
231,in politically correct in apologetically black httpstco5eoaamgvbt blacklivesmatter httpstcof8uttczoq8,Negative
232,it npsgirl museum reclaimed urban space morusnyc come there open today sunday pm fighting words political picture,Neutral
233,it a devcouncil breakthesilence illegal us sanction imposed good people eritrea 13 africa,Positive
234,confederate general robert e lee addressed proslavery army last time old 1865 day confederatesurrenderday httpstcolovcaxwagw travel history blacklivesmatter,Positive
235,sanction blunt ineffective policy tools impose insufficient costs target governments disproportionate ones vulnerable populations according scholars urge us got cancelhr6600 blacklivesmatter more,Neutral
236,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
237,it oldmainbell king king king king reinstate blacklivesmatter justiceforall,Neutral
238,proposed hr6600 sanction cuts ethiopia global financial system creating hindrance ethiopian economy clear impoverishment warning ordinary ethiopians cancelhr6600 blacklivesmatter more,Positive
239,growing body research shows economic sanction dire consequences human populations sanction cause many deaths increase presentable disease sometimes creating deaths armed conflicts cancelhr6600 blacklivesmatter more,Positive
240,it thederrywan worldwide scandal there trying hide world releasethe4files belfast scandal weeks justicefornoah,Neutral
241,experts argue sanction violate international law studies show generally effective achieving desired results cancelhr6600 blacklivesmatter more,Positive
242,united states world leader imposing economic sanction followed e conglomerates behind sanction affecting nearly 200 million people cancelhr6600 blacklivesmatter more,Positive
243,repmalinowski illadvised sanction bill drive ethiopia hands china limiting trade friendly nations cancelhr6600 blacklivesmatter more teampelosi,Positive
244,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
245,blackwomen know all dirty evil things healed unhealthy men black nurses aunt good debt office workers bus drivers train conductors seen hidden blacklivesmatter justice south racism,Negative
246,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
247,it vegasvisions corps america blacklivesmatter protests black people killed x rate,Negative
248,it oldmainbell king king king king reinstate blacklivesmatter justiceforall,Neutral
249,it npsgirl museum reclaimed urban space morusnyc come there open today sunday pm fighting words political picture,Neutral
250,it msarielknox hey corybooker one took nbcsnls joy either confirmkbj justice4all scouts thurgoodmarshall harriettubman k,Positive
251,it pp man 12 year old met till horribly tortured lunched innocent black 14 year old electrocuted ban too,Negative
252,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
253,king king king king reinstate blacklivesmatter justiceforall,Neutral
254,it vegasvisions corps america blacklivesmatter protests black people killed x rate,Negative
255,it thederrywan worldwide scandal there trying hide world releasethe4files belfast scandal weeks justicefornoah,Neutral
256,it theleoterrell black lives matter got caught buying expensive homes claiming racism blacklivesmatter racism organs,Negative
257,it thederrywan worldwide scandal there trying hide world releasethe4files belfast scandal weeks justicefornoah,Neutral
258,museum reclaimed urban space morusnyc come there open today sunday pm fighting words political pictures exhibition display 155 ave c ny more museumofreclaimedurbanspace blacklivesmatter ulm squat nycmuseum ny httpstcosf6ew1xmn0,Positive
259,hey corybooker one took nbcsnls joy either confirmkbj justice4all scouts thurgoodmarshall harriettubman ketanjibrownjackson jackierobinson sal blacklivesmatter representationmatters httpstcow2noxvvevz,Positive
260,it revolt lie detected blacklivesmatter httpstcozltktovzz5,Neutral
261,it peacenprogress2 reason many white people refuse acknowledge fact white privilege exists want may,Positive
262,12 year old met till horribly tortured lunched innocent black 14 year old electrocuted ban books can hide truth check legs video tikhon america cut blacklivesmatter httpstcoyvlzuii3si,Negative
263,it brunoodero thanks 10 may continue donation hit target raising 700 support kiss ply don,Positive
264,thanks 10 may continue donation hit target raising 700 support kiss ply donate papal odhiamboalphonce75gmailcom mutualaid mutualaidrequest mutualfunds blacklivesmatter rtitbot httpstcopzk4kfmwdu,Positive
265,fredtjoseph smith black yes actions criminal matter race lesson elementary keep hands blacklivesmatter chrisrock,Negative
266,think blacklivesmatter dont think black people right exercise second amendment rights perpetuating system racism read history era supported governor began signed guilford act httpstco5t0xlzgwyh,Positive
267,it squishy much patrick loyal murdered grand rapid michigan police according father watched body can forage,Positive
268,it pocgamer nothing like talking shit nuts lose followers record nuts trash blacklivesmatter stop,Negative
